City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,kargil,20.7692,121.5174,26.71,75,4,5.29,PH,1698546434
255,kulhudhuffushi,40.4656,-123.2928,2.17,26,0,1.77,US,1698546434
256,tchintabaraden,38.8375,32.2433,14.43,57,28,0.93,TR,1698546435
257,baglung,-77.1884,173.4168,-15.74,81,99,7.55,AQ,1698546435
258,melfi,9.823,-13.685,25.26,85,37,1.3,GN,1698546436
259,chiang saen,50.1197,79.4661,0.54,98,100,4.51,KZ,1698546437
260,mingyue,30.6422,27.6196,19.51,77,3,3.04,EG,1698546437
261,ruma,56.1408,-101.2258,-7.38,78,74,1.95,CA,1698546438
262,borodino,32.9197,78.0465,-7.1,31,3,0.25,IN,1698546438
263,mossel bay,-22.0655,113.8026,30.03,52,45,7.74,AU,1698546439
264,paramonga,66.2017,112.6597,-14.75,96,97,3.35,RU,1698546440
265,buka,64.9148,129.2833,-10.24,95,100,1.64,RU,1698546440
266,galdar,-23.1466,46.9851,19.24,94,97,1.32,MG,1698546440
267,nasaud,51.3746,27.0979,7.01,93,90,0.87,UA,1698546441
268,cill airne,12.7994,-71.6916,28.72,72,96,3.96,CO,1698546441
269,chadron,5.8891,40.3961,22.55,88,100,1.24,ET,1698546442
270,kem',73.6381,-85.3857,-12.42,92,100,2.33,CA,1698546443
271,fada,16.1493,74.8711,22.37,49,51,4.45,IN,1698546443
272,kenora,67.7336,-156.1225,-2.79,88,100,2.51,US,1698546443
273,betio village,31.9179,-16.1826,22.36,80,89,6.14,PT,1698546444
274,cardoso,27.3734,73.4199,25.41,31,6,3.43,IN,1698546444
275,komsomolets,42.7533,5.9976,19.27,82,8,7.25,FR,1698546444
276,newman,-18.365,49.9346,25.33,80,2,4.56,MG,1698546446
277,mirnyy,-11.1599,40.3487,22.86,90,84,1.4,MZ,1698546447
278,kaa-khem,37.4468,141.9346,17.79,77,83,14.3,JP,1698546447
279,california city,-3.0816,119.9189,29.05,40,2,1.78,ID,1698546447
280,hovelhof,25.5807,37.2365,25.29,56,80,5.54,SA,1698546448
281,inirida,-41.4602,-68.8757,2.3,62,34,16.18,AR,1698546448
282,erenhot,43.5674,4.4832,19.13,78,58,10.59,FR,1698546450
283,azangaro,33.1999,93.9634,-6.84,61,6,2.71,CN,1698546451
284,hell-ville,68.3535,51.6288,-10.24,90,100,7.06,RU,1698546451
285,macas,37.0313,-6.7579,19.67,84,54,6.52,ES,1698546451
286,sovetskiy,10.8859,108.9189,27.71,81,52,7.97,VN,1698546452
287,dolores,39.5802,-120.9306,7.42,25,0,4.19,US,1698546452
288,chernyakhovsk,-20.0123,44.2484,24.84,80,0,2.23,MG,1698546453
289,pervomayskoye,-22.3072,17.9725,15.32,22,3,4.23,NA,1698546453
290,olgii,70.9306,-91.1239,-5.97,77,100,4.58,CA,1698546453
291,thabazimbi,59.7666,-1.9837,8.01,71,98,14.07,GB,1698546454
292,totskoye,53.5208,-81.1463,0.11,82,100,10.66,CA,1698546454
293,belle fourche,70.6341,-126.6418,-1.22,69,100,8.96,CA,1698546454
294,fuerte olimpo,37.9046,29.4229,7.24,72,4,1.24,TR,1698546454
295,qui nhon,18.6826,-99.692,16.56,90,69,1.24,MX,1698546455
296,tahe,46.7816,61.0724,12.33,86,100,3.64,KZ,1698546456
297,gwanda,-41.8138,-75.4899,9.16,70,95,11.83,CL,1698546456
298,suileng,48.6078,43.3249,10.67,68,0,9.86,RU,1698546457
299,stornoway,-8.3752,-64.5492,25.02,77,100,0.87,BR,1698546457
300,market deeping,5.6826,72.1464,28.1,76,69,3.52,MV,1698546457
301,pisco,-23.0975,-49.5759,21.61,92,100,3.18,BR,1698546458
302,salta,17.0206,97.6254,25.97,90,100,1.15,MM,1698546458
303,shangri-la,71.0133,-12.0034,0.47,64,100,1.42,SJ,1698546459
304,slave lake,-30.001,115.6304,21.03,32,4,5.27,AU,1698546459
305,broome,70.2161,-162.6993,0.7,98,100,4.0,US,1698546459
306,leh,42.1277,63.9365,16.49,46,91,1.43,UZ,1698546460
307,al-`ula,59.4469,-165.8207,5.94,99,100,6.88,US,1698546461
308,jalapa,2.1267,74.3861,27.75,78,99,8.0,MV,1698546461
309,kapchorwa,5.8942,118.4677,32.08,75,8,1.14,PH,1698546461
310,quelimane,-31.0216,116.2825,20.85,36,11,4.2,AU,1698546462
311,san jose del guaviare,-19.1257,49.4098,25.16,81,4,3.24,MG,1698546463
312,tidjikja,-9.0994,130.8903,27.47,76,16,5.92,ID,1698546463
313,oruro,44.4671,64.1023,15.32,54,100,2.58,KZ,1698546463
314,tinghir,60.7558,-139.5746,-11.97,31,88,2.73,CA,1698546463
315,undurkhaan,28.5109,70.2947,25.4,40,2,2.26,PK,1698546464
316,turpan,5.0549,160.4249,28.72,72,19,4.48,FM,1698546464
317,mojo,45.5733,65.2907,14.17,54,100,2.66,KZ,1698546464
318,concordia,39.1668,55.6936,18.07,48,79,0.1,TM,1698546465
319,ghanzi,-22.2799,143.5556,31.3,20,69,5.02,AU,1698546465
320,salekhard,35.1412,-89.3569,19.9,94,100,1.12,US,1698546466
321,stefan voda,26.5573,-111.1526,26.16,61,0,4.21,MX,1698546467
322,midrand,38.2218,66.9373,14.0,42,100,1.44,UZ,1698546467
323,upington,36.8827,135.303,16.13,56,56,7.65,JP,1698546467
324,merizo village,55.9144,134.8484,-4.74,73,10,2.2,RU,1698546468
325,tegina,49.6361,-4.7419,13.26,74,69,14.03,GB,1698546468
326,ormara,19.7596,110.5754,28.73,84,100,4.8,CN,1698546468
327,vorkuta,6.0832,2.9635,27.77,79,13,3.47,NG,1698546468
328,inverell,31.5127,-64.1382,23.64,76,60,6.64,BM,1698546469
329,sharm el-sheikh,67.1526,-90.6918,-12.73,97,99,2.79,CA,1698546469
330,santa maria,-29.2319,30.5257,8.84,96,100,2.99,ZA,1698546470
331,kzyltu,25.9283,79.4402,22.77,38,98,2.12,IN,1698546470
332,rabaul,12.6432,29.9033,23.51,70,97,2.62,SD,1698546470
333,crucecita,42.3277,-79.0074,8.4,75,98,1.91,US,1698546471
334,ronne,60.0793,76.5941,-16.7,98,59,0.55,RU,1698546471
335,fukuecho,-6.4792,-79.0168,13.15,83,100,1.59,PE,1698546471
336,prineville,21.9282,110.3397,24.35,87,100,1.08,CN,1698546472
337,trubchevsk,34.7965,0.6169,13.39,82,91,1.94,DZ,1698546473
338,berlin,-43.8452,170.2841,2.81,81,54,3.31,NZ,1698546473
339,siocon,35.9507,55.2627,15.02,36,6,0.68,IR,1698546473
340,yigo village,68.6872,135.7884,-6.97,94,100,1.09,RU,1698546474
341,port shepstone,33.4151,113.3451,21.92,51,0,3.42,CN,1698546475
342,cacabelos,43.3127,46.6197,18.05,49,9,1.36,RU,1698546475
343,sinjai,39.8586,44.0142,11.1,71,0,1.54,TR,1698546476
344,aras-asan,45.3034,18.0267,12.26,76,0,1.88,HR,1698546477
345,labytnangi,34.0014,-102.4887,12.06,89,90,6.04,US,1698546478
346,catalina foothills,-24.5402,28.0981,20.72,44,62,3.97,ZA,1698546478
347,adrar,24.3059,121.3531,14.28,81,70,1.01,TW,1698546478
